IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6764.0,18580.0,1820.0,22.4,33.6,23.8,16.3,24.6,21.2,14.1,86.8,9.4,0.6,0.0,1.1,2.1,30.3,1709,80.2,11.9,7.9,0.0,11.5
8054.0,18345.0,1479.0,20.2,29.5,34.4,8.3,21.9,14.4,21.0,78.8,17.1,0.0,1.0,0.5,2.6,35.6,2352,82.5,14.4,3.1,0.0,8.5
14092.0,20134.0,2195.0,12.5,17.2,22.2,21.8,23.7,11.9,20.5,89.1,6.6,2.5,0.2,1.0,0.5,35.6,1636,78.1,18.3,3.5,0.0,3.4
10101.0,26501.0,2396.0,7.3,11.9,34.8,14.9,26.5,10.1,13.8,83.8,12.4,0.8,0.3,0.7,2.1,37.0,4094,81.9,14.2,2.0,2.0,7.3
5167.0,19345.0,1727.0,12.8,25.0,20.4,16.4,28.4,15.1,19.6,86.4,10.8,0.0,0.0,0.0,2.8,39.2,3370,85.6,9.2,5.2,0.0,7.0
4667.0,16103.0,2717.0,29.1,59.5,17.2,22.1,19.4,8.2,33.0,74.1,23.6,0.0,0.0,1.3,1.0,27.0,696,81.3,16.4,2.3,0.0,11.3
9046.0,16559.0,2145.0,22.7,30.4,11.6,14.1,15.3,26.3,32.7,76.7,14.3,0.2,8.7,0.0,0.0,21.4,2205,83.7,9.8,6.5,0.0,16.5
11821.0,20543.0,5241.0,24.9,35.7,36.5,11.7,30.1,14.3,7.4,71.5,10.0,2.4,0.0,5.7,10.5,43.7,964,68.7,26.5,4.9,0.0,25.0
3947.0,19180.0,2714.0,20.3,35.2,22.6,17.6,21.0,10.7,28.0,82.9,15.7,0.0,0.7,0.7,0.0,24.9,952,87.7,10.0,2.3,0.0,5.2
10370.0,25712.0,3418.0,12.0,11.6,35.1,15.3,26.1,11.2,12.3,86.2,4.3,0.0,2.4,2.1,5.0,26.3,721,60.6,31.6,7.8,0.0,4.1
4528.0,18921.0,3363.0,32.2,49.9,30.5,22.3,8.7,8.3,30.2,82.7,16.3,0.0,1.0,0.0,0.0,19.3,915,76.8,15.1,7.4,0.7,11.5
15469.0,21133.0,3743.0,23.9,40.0,31.1,3.9,25.8,14.1,25.2,72.7,20.6,0.0,0.0,2.2,4.5,27.7,640,73.9,19.5,6.6,0.0,8.7
5660.0,12154.0,1578.0,40.7,71.5,14.2,23.5,37.9,1.6,22.8,83.5,16.2,0.0,0.0,0.3,0.0,21.0,964,83.1,15.6,1.3,0.0,19.7
3919.0,20009.0,2127.0,18.1,23.7,33.0,12.5,21.8,12.3,20.5,89.7,7.8,0.0,0.5,0.5,1.5,24.8,1520,77.0,17.4,5.6,0.0,8.9
9502.0,21881.0,3707.0,18.2,17.6,33.1,10.1,18.0,17.2,21.6,87.3,8.0,0.0,0.8,0.0,3.9,28.6,755,72.2,17.1,10.7,0.0,8.9
4832.0,15762.0,1633.0,27.6,36.0,26.9,22.7,21.8,10.0,18.6,84.9,12.0,0.0,1.0,0.0,2.0,23.5,899,78.3,11.0,9.8,0.9,15.3
